Data,NomeDia,TCC Faturamento Realizado,TCC Faturamento Projetado Power BI
2020-01-26 00:00:00,DOMINGO,,R$ 155762
2020-01-27 00:00:00,SEGUNDA-FEIRA,R$ 483,R$ 150548
2020-01-28 00:00:00,TERÇA-FEIRA,R$ 4678,R$ 150350
2020-01-29 00:00:00,QUARTA-FEIRA,R$ 3754,R$ 149178
2020-01-30 00:00:00,QUINTA-FEIRA,R$ 4058,R$ 148398
2020-01-31 00:00:00,SEXTA-FEIRA,R$ 16649,R$ 160260
2020-02-01 00:00:00,SÁBADO,R$ 315,R$ 9135
2020-02-02 00:00:00,DOMINGO,,R$ 4568
2020-02-03 00:00:00,SEGUNDA-FEIRA,R$ 2023,R$ 22601
2020-02-04 00:00:00,TERÇA-FEIRA,R$ 6738,R$ 65797
2020-02-05 00:00:00,QUARTA-FEIRA,R$ 3146,R$ 70885
2020-02-06 00:00:00,QUINTA-FEIRA,R$ 6865,R$ 92252
2020-02-07 00:00:00,SEXTA-FEIRA,R$ 20029,R$ 162051
2020-02-08 00:00:00,SÁBADO,,R$ 141795
2020-02-09 00:00:00,DOMINGO,,R$ 126040
2020-02-10 00:00:00,SEGUNDA-FEIRA,R$ 46,R$ 113569
2020-02-11 00:00:00,TERÇA-FEIRA,R$ 4800,R$ 115897
2020-02-12 00:00:00,QUARTA-FEIRA,R$ 6636,R$ 122276
2020-02-13 00:00:00,QUINTA-FEIRA,R$ 3958,R$ 121699
2020-02-14 00:00:00,SEXTA-FEIRA,R$ 16944,R$ 148104
2020-02-15 00:00:00,SÁBADO,,R$ 138231
2020-02-16 00:00:00,DOMINGO,,R$ 129591
2020-02-17 00:00:00,SEGUNDA-FEIRA,R$ 4175,R$ 129090
2020-02-18 00:00:00,TERÇA-FEIRA,R$ 3773,R$ 127997
2020-02-19 00:00:00,QUARTA-FEIRA,R$ 4201,R$ 127672
2020-02-20 00:00:00,QUINTA-FEIRA,R$ 8365,R$ 133418
2020-02-21 00:00:00,SEXTA-FEIRA,R$ 12029,R$ 143675
2020-02-22 00:00:00,SÁBADO,,R$ 137145
2020-02-23 00:00:00,DOMINGO,,R$ 131182
2020-02-24 00:00:00,SEGUNDA-FEIRA,,R$ 125716
2020-02-25 00:00:00,TERÇA-FEIRA,,R$ 120687
2020-02-26 00:00:00,QUARTA-FEIRA,R$ 1967,R$ 118239
2020-02-27 00:00:00,QUINTA-FEIRA,R$ 5347,R$ 119604
2020-02-28 00:00:00,SEXTA-FEIRA,R$ 8889,R$ 124538
2020-02-29 00:00:00,SÁBADO,,R$ 120244
2020-03-02 00:00:00,SEGUNDA-FEIRA,R$ 2762,R$ 42811
2020-03-03 00:00:00,TERÇA-FEIRA,R$ 2115,R$ 50396
2020-03-04 00:00:00,QUARTA-FEIRA,R$ 4358,R$ 71571
2020-03-05 00:00:00,QUINTA-FEIRA,R$ 5330,R$ 90303
2020-03-06 00:00:00,SEXTA-FEIRA,R$ 15065,R$ 153086
2020-03-07 00:00:00,SÁBADO,,R$ 131216
2020-03-08 00:00:00,DOMINGO,,R$ 114814
2020-03-09 00:00:00,SEGUNDA-FEIRA,R$ 1624,R$ 107651
2020-03-10 00:00:00,TERÇA-FEIRA,R$ 5367,R$ 113522
2020-03-11 00:00:00,QUARTA-FEIRA,R$ 6963,R$ 122825
2020-03-12 00:00:00,QUINTA-FEIRA,R$ 5941,R$ 127938
2020-03-13 00:00:00,SEXTA-FEIRA,R$ 19818,R$ 165355
2020-03-14 00:00:00,SÁBADO,R$ 7646,R$ 170475
2020-03-15 00:00:00,DOMINGO,,R$ 159110
2020-03-16 00:00:00,SEGUNDA-FEIRA,R$ 1475,R$ 152023
2020-03-17 00:00:00,TERÇA-FEIRA,R$ 5569,R$ 153236
2020-03-18 00:00:00,QUARTA-FEIRA,,R$ 144723
2020-03-19 00:00:00,QUINTA-FEIRA,R$ 252,R$ 137517
2020-03-20 00:00:00,SEXTA-FEIRA,R$ 1728,R$ 133319
2020-03-21 00:00:00,SÁBADO,,R$ 126970
2020-03-22 00:00:00,DOMINGO,,R$ 121199
2020-03-23 00:00:00,SEGUNDA-FEIRA,R$ 180,R$ 116172
2020-03-24 00:00:00,TERÇA-FEIRA,R$ 154,R$ 111530
2020-03-25 00:00:00,QUARTA-FEIRA,,R$ 107069
2020-03-26 00:00:00,QUINTA-FEIRA,R$ 590,R$ 103655
2020-03-27 00:00:00,SEXTA-FEIRA,R$ 440,R$ 100320
2020-03-28 00:00:00,SÁBADO,,R$ 96737
2020-03-29 00:00:00,DOMINGO,,R$ 93402
2020-03-30 00:00:00,SEGUNDA-FEIRA,R$ 575,R$ 90883
2020-03-31 00:00:00,TERÇA-FEIRA,,R$ 87951
2020-04-01 00:00:00,QUARTA-FEIRA,R$ 186,R$ 5578
2020-04-02 00:00:00,QUINTA-FEIRA,R$ 1362,R$ 23220
2020-04-03 00:00:00,SEXTA-FEIRA,R$ 1499,R$ 30469
2020-04-04 00:00:00,SÁBADO,,R$ 22852
2020-04-05 00:00:00,DOMINGO,,R$ 18281
2020-04-06 00:00:00,SEGUNDA-FEIRA,R$ 234,R$ 16404
2020-04-07 00:00:00,TERÇA-FEIRA,,R$ 14061
2020-04-08 00:00:00,QUARTA-FEIRA,R$ 690,R$ 14889
2020-04-09 00:00:00,QUINTA-FEIRA,R$ 2340,R$ 21035
2020-04-10 00:00:00,SEXTA-FEIRA,,R$ 18931
2020-04-11 00:00:00,SÁBADO,,R$ 17210
2020-04-12 00:00:00,DOMINGO,,R$ 15776
2020-04-13 00:00:00,SEGUNDA-FEIRA,R$ 883,R$ 16601
2020-04-14 00:00:00,TERÇA-FEIRA,R$ 2069,R$ 19849
2020-04-15 00:00:00,QUARTA-FEIRA,R$ 609,R$ 19743
2020-04-16 00:00:00,QUINTA-FEIRA,R$ 122,R$ 18738
2020-04-17 00:00:00,SEXTA-FEIRA,R$ 2045,R$ 21245
2020-04-18 00:00:00,SÁBADO,,R$ 20065
2020-04-19 00:00:00,DOMINGO,,R$ 19009
2020-04-20 00:00:00,SEGUNDA-FEIRA,R$ 617,R$ 18984
2020-04-21 00:00:00,TERÇA-FEIRA,,R$ 18080
2020-04-22 00:00:00,QUARTA-FEIRA,R$ 1201,R$ 18896
2020-04-23 00:00:00,QUINTA-FEIRA,R$ 2991,R$ 21976
2020-04-24 00:00:00,SEXTA-FEIRA,R$ 1776,R$ 23281
2020-04-25 00:00:00,SÁBADO,R$ 380,R$ 22806
2020-04-26 00:00:00,DOMINGO,,R$ 21928
2020-04-27 00:00:00,SEGUNDA-FEIRA,R$ 2228,R$ 23592
2020-04-28 00:00:00,TERÇA-FEIRA,R$ 1043,R$ 23866
2020-04-29 00:00:00,QUARTA-FEIRA,R$ 144,R$ 23192
2020-04-30 00:00:00,QUINTA-FEIRA,R$ 3322,R$ 25741
2020-05-04 00:00:00,SEGUNDA-FEIRA,R$ 2404,R$ 18631
2020-05-05 00:00:00,TERÇA-FEIRA,R$ 2695,R$ 31612
2020-05-06 00:00:00,QUARTA-FEIRA,R$ 75,R$ 26731
2020-05-07 00:00:00,QUINTA-FEIRA,R$ 799,R$ 26452
2020-05-08 00:00:00,SEXTA-FEIRA,R$ 1606,R$ 29369
2020-05-09 00:00:00,SÁBADO,,R$ 26106
2020-05-10 00:00:00,DOMINGO,,R$ 23495
2020-05-11 00:00:00,SEGUNDA-FEIRA,R$ 102,R$ 21648
2020-05-12 00:00:00,TERÇA-FEIRA,R$ 2106,R$ 25284
2020-05-13 00:00:00,QUARTA-FEIRA,R$ 1452,R$ 26801
2020-05-14 00:00:00,QUINTA-FEIRA,,R$ 24887
2020-05-15 00:00:00,SEXTA-FEIRA,R$ 1300,R$ 25914
2020-05-16 00:00:00,SÁBADO,,R$ 24295
2020-05-17 00:00:00,DOMINGO,,R$ 22865
2020-05-18 00:00:00,SEGUNDA-FEIRA,R$ 130,R$ 21819
2020-05-19 00:00:00,TERÇA-FEIRA,R$ 2826,R$ 25282
2020-05-20 00:00:00,QUARTA-FEIRA,R$ 1932,R$ 27012
2020-05-21 00:00:00,QUINTA-FEIRA,R$ 2348,R$ 29192
2020-05-22 00:00:00,SEXTA-FEIRA,R$ 2781,R$ 31783
2020-05-23 00:00:00,SÁBADO,,R$ 30401
2020-05-24 00:00:00,DOMINGO,,R$ 29135
2020-05-25 00:00:00,SEGUNDA-FEIRA,R$ 2263,R$ 30776
2020-05-26 00:00:00,TERÇA-FEIRA,R$ 322,R$ 29976
2020-05-27 00:00:00,QUARTA-FEIRA,R$ 736,R$ 29711
2020-05-28 00:00:00,QUINTA-FEIRA,R$ 378,R$ 29068
2020-05-29 00:00:00,SEXTA-FEIRA,R$ 1486,R$ 29655
2020-05-30 00:00:00,SÁBADO,R$ 282,R$ 28958
2020-05-31 00:00:00,DOMINGO,,R$ 28024
2020-06-01 00:00:00,SEGUNDA-FEIRA,R$ 484,R$ 14520
2020-06-02 00:00:00,TERÇA-FEIRA,R$ 2832,R$ 49734
2020-06-03 00:00:00,QUARTA-FEIRA,R$ 22,R$ 33376
2020-06-04 00:00:00,QUINTA-FEIRA,R$ 3323,R$ 49954
2020-06-05 00:00:00,SEXTA-FEIRA,R$ 1624,R$ 49709
2020-06-06 00:00:00,SÁBADO,,R$ 41425
2020-06-07 00:00:00,DOMINGO,,R$ 35507
2020-06-08 00:00:00,SEGUNDA-FEIRA,R$ 1090,R$ 35157
2020-06-09 00:00:00,TERÇA-FEIRA,R$ 2873,R$ 40827
2020-06-10 00:00:00,QUARTA-FEIRA,R$ 5071,R$ 51958
2020-06-11 00:00:00,QUINTA-FEIRA,,R$ 47234
2020-06-12 00:00:00,SEXTA-FEIRA,R$ 2853,R$ 50430
2020-06-13 00:00:00,SÁBADO,,R$ 46551
2020-06-14 00:00:00,DOMINGO,,R$ 43226
2020-06-15 00:00:00,SEGUNDA-FEIRA,R$ 1215,R$ 42774
2020-06-16 00:00:00,TERÇA-FEIRA,R$ 3195,R$ 46091
2020-06-17 00:00:00,QUARTA-FEIRA,R$ 1400,R$ 45849
2020-06-18 00:00:00,QUINTA-FEIRA,R$ 1029,R$ 45017
2020-06-19 00:00:00,SEXTA-FEIRA,R$ 1850,R$ 45569
2020-06-20 00:00:00,SÁBADO,,R$ 43290
2020-06-21 00:00:00,DOMINGO,,R$ 41229
2020-06-22 00:00:00,SEGUNDA-FEIRA,R$ 161,R$ 39574
2020-06-23 00:00:00,TERÇA-FEIRA,R$ 4926,R$ 44278
2020-06-24 00:00:00,QUARTA-FEIRA,R$ 2911,R$ 46072
2020-06-25 00:00:00,QUINTA-FEIRA,R$ 807,R$ 45198
2020-06-26 00:00:00,SEXTA-FEIRA,R$ 1340,R$ 45006
2020-06-27 00:00:00,SÁBADO,,R$ 43339
2020-06-28 00:00:00,DOMINGO,,R$ 41791
2020-06-29 00:00:00,SEGUNDA-FEIRA,,R$ 40350
2020-06-30 00:00:00,TERÇA-FEIRA,R$ 596,R$ 39602
2020-07-02 00:00:00,QUINTA-FEIRA,R$ 120,R$ 1860
2020-07-03 00:00:00,SEXTA-FEIRA,R$ 2198,R$ 23955
2020-07-04 00:00:00,SÁBADO,,R$ 17966
2020-07-05 00:00:00,DOMINGO,,R$ 14373
2020-07-06 00:00:00,SEGUNDA-FEIRA,,R$ 11978
2020-07-07 00:00:00,TERÇA-FEIRA,R$ 2843,R$ 22857
2020-07-08 00:00:00,QUARTA-FEIRA,,R$ 20000
2020-07-09 00:00:00,QUINTA-FEIRA,R$ 725,R$ 20274
2020-07-10 00:00:00,SEXTA-FEIRA,R$ 1703,R$ 23527
2020-07-11 00:00:00,SÁBADO,,R$ 21388
2020-07-12 00:00:00,DOMINGO,,R$ 19606
2020-07-13 00:00:00,SEGUNDA-FEIRA,,R$ 18097
2020-07-14 00:00:00,TERÇA-FEIRA,R$ 2751,R$ 22896
2020-07-15 00:00:00,QUARTA-FEIRA,R$ 496,R$ 22394
2020-07-16 00:00:00,QUINTA-FEIRA,R$ 248,R$ 21475
2020-07-17 00:00:00,SEXTA-FEIRA,R$ 1095,R$ 22208
2020-07-18 00:00:00,SÁBADO,,R$ 20975
2020-07-19 00:00:00,DOMINGO,,R$ 19871
2020-07-20 00:00:00,SEGUNDA-FEIRA,R$ 891,R$ 20258
2020-07-21 00:00:00,TERÇA-FEIRA,R$ 4054,R$ 25278
2020-07-22 00:00:00,QUARTA-FEIRA,,R$ 24129
2020-07-23 00:00:00,QUINTA-FEIRA,R$ 1456,R$ 25042
2020-07-24 00:00:00,SEXTA-FEIRA,R$ 1003,R$ 25295
2020-07-25 00:00:00,SÁBADO,,R$ 24283
2020-07-26 00:00:00,DOMINGO,,R$ 23349
2020-07-27 00:00:00,SEGUNDA-FEIRA,R$ 785,R$ 23385
2020-07-28 00:00:00,TERÇA-FEIRA,R$ 2474,R$ 25289
2020-07-29 00:00:00,QUARTA-FEIRA,R$ 252,R$ 24687
2020-07-30 00:00:00,QUINTA-FEIRA,R$ 203,R$ 24074
2020-07-31 00:00:00,SEXTA-FEIRA,R$ 1018,R$ 24314
2020-08-03 00:00:00,SEGUNDA-FEIRA,R$ 120,R$ 1240
2020-08-04 00:00:00,TERÇA-FEIRA,R$ 3505,R$ 28090
2020-08-05 00:00:00,QUARTA-FEIRA,R$ 2233,R$ 36317
2020-08-06 00:00:00,QUINTA-FEIRA,R$ 1060,R$ 35738
2020-08-07 00:00:00,SEXTA-FEIRA,R$ 4145,R$ 48987
2020-08-08 00:00:00,SÁBADO,R$ 425,R$ 44510
2020-08-09 00:00:00,DOMINGO,,R$ 39565
2020-08-10 00:00:00,SEGUNDA-FEIRA,R$ 3215,R$ 45573
2020-08-11 00:00:00,TERÇA-FEIRA,R$ 409,R$ 42583
2020-08-12 00:00:00,QUARTA-FEIRA,R$ 3840,R$ 48953
2020-08-13 00:00:00,QUINTA-FEIRA,R$ 753,R$ 46982
2020-08-14 00:00:00,SEXTA-FEIRA,R$ 2471,R$ 49099
2020-08-15 00:00:00,SÁBADO,,R$ 45825
2020-08-16 00:00:00,DOMINGO,,R$ 42961
2020-08-17 00:00:00,SEGUNDA-FEIRA,R$ 61,R$ 40545
2020-08-18 00:00:00,TERÇA-FEIRA,R$ 4535,R$ 46103
2020-08-19 00:00:00,QUARTA-FEIRA,R$ 2812,R$ 48264
2020-08-20 00:00:00,QUINTA-FEIRA,R$ 1324,R$ 47904
2020-08-21 00:00:00,SEXTA-FEIRA,R$ 3521,R$ 50820
2020-08-22 00:00:00,SÁBADO,,R$ 48510
2020-08-23 00:00:00,DOMINGO,,R$ 46401
2020-08-24 00:00:00,SEGUNDA-FEIRA,R$ 1305,R$ 46153
2020-08-25 00:00:00,TERÇA-FEIRA,R$ 4884,R$ 50363
2020-08-26 00:00:00,QUARTA-FEIRA,R$ 1476,R$ 50186
2020-08-27 00:00:00,QUINTA-FEIRA,R$ 661,R$ 49086
2020-08-28 00:00:00,SEXTA-FEIRA,R$ 6401,R$ 54419
2020-08-29 00:00:00,SÁBADO,,R$ 52543
2020-08-30 00:00:00,DOMINGO,,R$ 50791
2020-08-31 00:00:00,SEGUNDA-FEIRA,,R$ 49153
2020-09-01 00:00:00,TERÇA-FEIRA,R$ 4323,R$ 129703
2020-09-02 00:00:00,QUARTA-FEIRA,R$ 2990,R$ 109703
2020-09-03 00:00:00,QUINTA-FEIRA,R$ 3392,R$ 107059
2020-09-04 00:00:00,SEXTA-FEIRA,R$ 7138,R$ 133830
2020-09-05 00:00:00,SÁBADO,,R$ 107064
2020-09-06 00:00:00,DOMINGO,,R$ 89220
2020-09-07 00:00:00,SEGUNDA-FEIRA,,R$ 76475
2020-09-08 00:00:00,TERÇA-FEIRA,R$ 1369,R$ 72050
2020-09-09 00:00:00,QUARTA-FEIRA,R$ 4299,R$ 78375
2020-09-10 00:00:00,QUINTA-FEIRA,R$ 1725,R$ 75713
2020-09-11 00:00:00,SEXTA-FEIRA,R$ 9753,R$ 95430
2020-09-12 00:00:00,SÁBADO,R$ 2247,R$ 93095
2020-09-13 00:00:00,DOMINGO,,R$ 85934
2020-09-14 00:00:00,SEGUNDA-FEIRA,R$ 1374,R$ 82739
2020-09-15 00:00:00,TERÇA-FEIRA,R$ 4971,R$ 87166
2020-09-16 00:00:00,QUARTA-FEIRA,R$ 7769,R$ 96285
2020-09-17 00:00:00,QUINTA-FEIRA,R$ 7073,R$ 103104
2020-09-18 00:00:00,SEXTA-FEIRA,R$ 4253,R$ 104464
2020-09-19 00:00:00,SÁBADO,R$ 3444,R$ 104404
2020-09-20 00:00:00,DOMINGO,,R$ 99183
2020-09-21 00:00:00,SEGUNDA-FEIRA,R$ 1134,R$ 96081
2020-09-22 00:00:00,TERÇA-FEIRA,R$ 5997,R$ 99892
2020-09-23 00:00:00,QUARTA-FEIRA,R$ 9981,R$ 108567
2020-09-24 00:00:00,QUINTA-FEIRA,R$ 7493,R$ 113409
2020-09-25 00:00:00,SEXTA-FEIRA,R$ 5391,R$ 115342
2020-09-26 00:00:00,SÁBADO,R$ 650,R$ 111656
2020-09-27 00:00:00,DOMINGO,,R$ 107520
2020-09-28 00:00:00,SEGUNDA-FEIRA,R$ 2033,R$ 105859
2020-09-29 00:00:00,TERÇA-FEIRA,R$ 11042,R$ 113631
2020-09-30 00:00:00,QUARTA-FEIRA,R$ 5375,R$ 115219
2020-10-01 00:00:00,QUINTA-FEIRA,R$ 12068,R$ 374101
2020-10-02 00:00:00,SEXTA-FEIRA,R$ 2467,R$ 225286
2020-10-03 00:00:00,SÁBADO,,R$ 150191
2020-10-04 00:00:00,DOMINGO,,R$ 112643
2020-10-05 00:00:00,SEGUNDA-FEIRA,R$ 1597,R$ 100015
2020-10-06 00:00:00,TERÇA-FEIRA,R$ 2984,R$ 98761
2020-10-07 00:00:00,QUARTA-FEIRA,R$ 9003,R$ 124521
2020-10-08 00:00:00,QUINTA-FEIRA,R$ 6203,R$ 132993
2020-10-09 00:00:00,SEXTA-FEIRA,R$ 6029,R$ 138981
2020-10-10 00:00:00,SÁBADO,,R$ 125083
2020-10-11 00:00:00,DOMINGO,,R$ 113712
2020-10-12 00:00:00,SEGUNDA-FEIRA,,R$ 104236
2020-10-13 00:00:00,TERÇA-FEIRA,R$ 13431,R$ 128245
2020-10-14 00:00:00,QUARTA-FEIRA,R$ 8273,R$ 137404
2020-10-15 00:00:00,QUINTA-FEIRA,R$ 7209,R$ 143143
2020-10-16 00:00:00,SEXTA-FEIRA,R$ 8394,R$ 150459
2020-10-17 00:00:00,SÁBADO,R$ 2013,R$ 145280
2020-10-18 00:00:00,DOMINGO,,R$ 137209
2020-10-19 00:00:00,SEGUNDA-FEIRA,R$ 3885,R$ 136326
2020-10-20 00:00:00,TERÇA-FEIRA,R$ 4545,R$ 136554
2020-10-21 00:00:00,QUARTA-FEIRA,R$ 8977,R$ 143304
2020-10-22 00:00:00,QUINTA-FEIRA,R$ 13579,R$ 155924
2020-10-23 00:00:00,SEXTA-FEIRA,R$ 13013,R$ 166684
2020-10-24 00:00:00,SÁBADO,R$ 237,R$ 160045
2020-10-25 00:00:00,DOMINGO,,R$ 153643
2020-10-26 00:00:00,SEGUNDA-FEIRA,,R$ 147734
2020-10-27 00:00:00,TERÇA-FEIRA,R$ 6944,R$ 150234
2020-10-28 00:00:00,QUARTA-FEIRA,R$ 4766,R$ 150146
2020-10-29 00:00:00,QUINTA-FEIRA,R$ 16225,R$ 162312
2020-10-30 00:00:00,SEXTA-FEIRA,R$ 17150,R$ 174623
2020-10-31 00:00:00,SÁBADO,,R$ 168990
2020-11-03 00:00:00,TERÇA-FEIRA,R$ 372,R$ 3719
2020-11-04 00:00:00,QUARTA-FEIRA,R$ 6050,R$ 48165
2020-11-05 00:00:00,QUINTA-FEIRA,R$ 12166,R$ 111525
2020-11-06 00:00:00,SEXTA-FEIRA,R$ 11268,R$ 149280
2020-11-07 00:00:00,SÁBADO,R$ 1710,R$ 135284
2020-11-08 00:00:00,DOMINGO,,R$ 118374
2020-11-09 00:00:00,SEGUNDA-FEIRA,,R$ 105221
2020-11-10 00:00:00,TERÇA-FEIRA,R$ 3321,R$ 104662
2020-11-11 00:00:00,QUARTA-FEIRA,R$ 9941,R$ 122260
2020-11-12 00:00:00,QUINTA-FEIRA,R$ 11550,R$ 140947
2020-11-13 00:00:00,SEXTA-FEIRA,R$ 10711,R$ 154822
2020-11-14 00:00:00,SÁBADO,,R$ 143764
2020-11-15 00:00:00,DOMINGO,,R$ 134179
2020-11-16 00:00:00,SEGUNDA-FEIRA,R$ 1467,R$ 128544
2020-11-17 00:00:00,TERÇA-FEIRA,R$ 10028,R$ 138680
2020-11-18 00:00:00,QUARTA-FEIRA,R$ 9994,R$ 147632
2020-11-19 00:00:00,QUINTA-FEIRA,R$ 2458,R$ 143742
2020-11-20 00:00:00,SEXTA-FEIRA,R$ 12343,R$ 155070
2020-11-21 00:00:00,SÁBADO,,R$ 147686
2020-11-22 00:00:00,DOMINGO,,R$ 140973
2020-11-23 00:00:00,SEGUNDA-FEIRA,R$ 823,R$ 135917
2020-11-24 00:00:00,TERÇA-FEIRA,R$ 28581,R$ 165980
2020-11-25 00:00:00,QUARTA-FEIRA,R$ 16671,R$ 179345
2020-11-26 00:00:00,QUINTA-FEIRA,R$ 10282,R$ 184311
2020-11-27 00:00:00,SEXTA-FEIRA,R$ 12538,R$ 191416
2020-11-28 00:00:00,SÁBADO,R$ 558,R$ 185178
2020-11-29 00:00:00,DOMINGO,,R$ 178792
2020-11-30 00:00:00,SEGUNDA-FEIRA,R$ 8085,R$ 180917
2020-12-01 00:00:00,TERÇA-FEIRA,R$ 5284,R$ 163796
2020-12-02 00:00:00,QUARTA-FEIRA,R$ 9858,R$ 234697
2020-12-03 00:00:00,QUINTA-FEIRA,R$ 7089,R$ 229715
2020-12-04 00:00:00,SEXTA-FEIRA,R$ 14036,R$ 281063
2020-12-05 00:00:00,SÁBADO,R$ 1142,R$ 231931
2020-12-06 00:00:00,DOMINGO,,R$ 193276
2020-12-07 00:00:00,SEGUNDA-FEIRA,R$ 102,R$ 166117
2020-12-08 00:00:00,TERÇA-FEIRA,R$ 8144,R$ 176909
2020-12-09 00:00:00,QUARTA-FEIRA,R$ 13352,R$ 203243
2020-12-10 00:00:00,QUINTA-FEIRA,R$ 14555,R$ 228038
2020-12-11 00:00:00,SEXTA-FEIRA,R$ 8458,R$ 231144
2020-12-12 00:00:00,SÁBADO,R$ 1875,R$ 216725
2020-12-13 00:00:00,DOMINGO,R$ 594,R$ 201470
2020-12-14 00:00:00,SEGUNDA-FEIRA,R$ 17790,R$ 226472
2020-12-15 00:00:00,TERÇA-FEIRA,R$ 12001,R$ 236175
2020-12-16 00:00:00,QUARTA-FEIRA,R$ 20779,R$ 261673
2020-12-17 00:00:00,QUINTA-FEIRA,R$ 16623,R$ 276594
2020-12-18 00:00:00,SEXTA-FEIRA,R$ 20899,R$ 297221
2020-12-19 00:00:00,SÁBADO,R$ 1940,R$ 284743
2020-12-20 00:00:00,DOMINGO,,R$ 270506
2020-12-21 00:00:00,SEGUNDA-FEIRA,R$ 22792,R$ 291269
2020-12-22 00:00:00,TERÇA-FEIRA,R$ 42194,R$ 337485
2020-12-23 00:00:00,QUARTA-FEIRA,R$ 15940,R$ 344296
2020-12-24 00:00:00,QUINTA-FEIRA,R$ 8735,R$ 341233
2020-12-25 00:00:00,SEXTA-FEIRA,,R$ 327583
2020-12-26 00:00:00,SÁBADO,,R$ 314984
2020-12-27 00:00:00,DOMINGO,,R$ 303318
2020-12-28 00:00:00,SEGUNDA-FEIRA,R$ 18895,R$ 313405
2020-12-29 00:00:00,TERÇA-FEIRA,R$ 35829,R$ 340897
2020-12-30 00:00:00,QUARTA-FEIRA,R$ 28307,R$ 358784
2020-12-31 00:00:00,QUINTA-FEIRA,R$ 1108,R$ 348318
2021-01-04 00:00:00,SEGUNDA-FEIRA,R$ 3545,R$ 27471
2021-01-05 00:00:00,TERÇA-FEIRA,R$ 9464,R$ 80655
2021-01-06 00:00:00,QUARTA-FEIRA,R$ 11845,R$ 128414
2021-01-07 00:00:00,QUINTA-FEIRA,R$ 7351,R$ 142623
2021-01-08 00:00:00,SEXTA-FEIRA,R$ 5345,R$ 145509
2021-01-09 00:00:00,SÁBADO,,R$ 129341
2021-01-10 00:00:00,DOMINGO,,R$ 116407
2021-01-11 00:00:00,SEGUNDA-FEIRA,R$ 2117,R$ 111792
2021-01-12 00:00:00,TERÇA-FEIRA,R$ 11454,R$ 132066
2021-01-13 00:00:00,QUARTA-FEIRA,R$ 19489,R$ 168381
2021-01-14 00:00:00,QUINTA-FEIRA,R$ 9218,R$ 176765
2021-01-15 00:00:00,SEXTA-FEIRA,R$ 4830,R$ 174962
2021-01-16 00:00:00,SÁBADO,,R$ 164027
2021-01-17 00:00:00,DOMINGO,,R$ 154378
2021-01-18 00:00:00,SEGUNDA-FEIRA,R$ 3584,R$ 151974
2021-01-19 00:00:00,TERÇA-FEIRA,R$ 4713,R$ 151664
2021-01-20 00:00:00,QUARTA-FEIRA,R$ 9691,R$ 159102
2021-01-21 00:00:00,QUINTA-FEIRA,R$ 7155,R$ 162088
2021-01-22 00:00:00,SEXTA-FEIRA,R$ 7685,R$ 165550
2021-01-23 00:00:00,SÁBADO,,R$ 158352
2021-01-24 00:00:00,DOMINGO,,R$ 151754
2021-01-25 00:00:00,SEGUNDA-FEIRA,,R$ 145684
2021-01-26 00:00:00,TERÇA-FEIRA,R$ 9934,R$ 151925
2021-01-27 00:00:00,QUARTA-FEIRA,R$ 20193,R$ 169482
2021-01-28 00:00:00,QUINTA-FEIRA,R$ 8763,R$ 173131
2021-01-29 00:00:00,SEXTA-FEIRA,R$ 14174,R$ 182313
2021-01-30 00:00:00,SÁBADO,R$ 5033,R$ 181436
2021-01-31 00:00:00,DOMINGO,,R$ 175583
2021-02-01 00:00:00,SEGUNDA-FEIRA,R$ 4309,R$ 120651
2021-02-02 00:00:00,TERÇA-FEIRA,R$ 5339,R$ 135065
2021-02-03 00:00:00,QUARTA-FEIRA,R$ 15270,R$ 232559
2021-02-04 00:00:00,QUINTA-FEIRA,R$ 9554,R$ 241299
2021-02-05 00:00:00,SEXTA-FEIRA,R$ 6344,R$ 228566
2021-02-06 00:00:00,SÁBADO,,R$ 190472
2021-02-07 00:00:00,DOMINGO,,R$ 163262
2021-02-08 00:00:00,SEGUNDA-FEIRA,R$ 6388,R$ 165210
2021-02-09 00:00:00,TERÇA-FEIRA,R$ 6110,R$ 165862
2021-02-10 00:00:00,QUARTA-FEIRA,R$ 19201,R$ 203039
2021-02-11 00:00:00,QUINTA-FEIRA,R$ 10078,R$ 210233
2021-02-12 00:00:00,SEXTA-FEIRA,R$ 16304,R$ 230757
2021-02-13 00:00:00,SÁBADO,,R$ 213006
2021-02-14 00:00:00,DOMINGO,,R$ 197791
2021-02-15 00:00:00,SEGUNDA-FEIRA,,R$ 184605
2021-02-16 00:00:00,TERÇA-FEIRA,,R$ 173067
2021-02-17 00:00:00,QUARTA-FEIRA,R$ 7712,R$ 175588
2021-02-18 00:00:00,QUINTA-FEIRA,R$ 6646,R$ 176172
2021-02-19 00:00:00,SEXTA-FEIRA,R$ 7310,R$ 177673
2021-02-20 00:00:00,SÁBADO,,R$ 168789
2021-02-21 00:00:00,DOMINGO,,R$ 160752
2021-02-22 00:00:00,SEGUNDA-FEIRA,R$ 7117,R$ 162503
2021-02-23 00:00:00,TERÇA-FEIRA,R$ 2423,R$ 158387
2021-02-24 00:00:00,QUARTA-FEIRA,R$ 4862,R$ 157460
2021-02-25 00:00:00,QUINTA-FEIRA,R$ 13530,R$ 166315
2021-02-26 00:00:00,SEXTA-FEIRA,R$ 577,R$ 160539
2021-02-27 00:00:00,SÁBADO,,R$ 154593
